clause_text,risk
"d)In no event shall Kallo be liable for indirect, consequential, or incidental damages (including damages for loss of business profits, business interruption, loss of business information, and the like) arising out of the relationship between Kallo and Agent even if it has been advised of the possibility of such damages. e)Kallo's cumulative liability under this agreement, including any cause of action in contract, tort or strict liability, shall be limited to the license fees paid by agent during the 12 months prior to such event. Kallo's limitation of liability is cumulative with all Kallo's expenditures to address liability being aggregated to determine satisfaction of the limit. Agent releases Kallo from all obligations, liabilities, claims or demands in excess of the limitation. The parties acknowledge that other parts of this agreement rely upon the inclusion of this section and the resulting allocation of risks.",Medium
"Section 11.2: The liability of WLI to Power2Ship for any claim whatsoever related to the Products or the Licensed Programs or this Agreement, including any cause of action in contract, tort, or strict liability, shall not exceed the total amount payable under this Agreement by Power2Ship to WLI within the most recent six-month period for the Licensed Programs (if such claim relates to the Licensed Programs), or for the WLI Products (if such claim relates to the WLI Products). Under no circumstances shall WLI be liable to Power2Ship or to any other person or entity for any incidental, special or consequential damages whether arising out of breach of warranty, breach of contract or otherwise even if WLI has been advised of the possibility of such claims or demands.",Medium
"LIMITATION OF LIABILITY EXCEPT UNDER SECTIONS 13(a) AND 13(b), IN NO EVENT WILL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES, WHETHER BASED ON BREACH OF CONTRACT, TORT (INCLUDING NEGLIGENCE) OR OTHERWISE, WHETHER OR NOT THAT PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE. EXCEPT UNDER SECTIONS 13(a) AND 13(b), THE LIABILITY OF EITHER PARTY FOR DAMAGES OR ALLEGED DAMAGES HEREUNDER, WHETHER IN CONTRACT, TORT OR ANY OTHER LEGAL THEORY, IS LIMITED TO, AND WILL NOT EXCEED, THE AMOUNTS TO BE PAID BY CLIENT TO EXCITE HEREUNDER.",High
"Notwithstanding anything herein to the contrary, AJR's liability under this Section 11 shall not exceed One Hundred Fifty Thousand Dollars ($150,000).",High
"8.2 Limitation of Galaxy Liability Galaxy shall have no liability to Telnet, whether in contract, tort (including negligence), strict liability or otherwise, for any special, indirect or consequential damages or for lost profits, in any matter related to this Agreement, including but not limited to any delay or failure by Galaxy to furnish, deliver or provide Products or Services; Galaxy's liability in any matter related to Product shall be limited to the purchase price paid by Telnet for the Product with respect to which such liability relates; Galaxy's liability in any matter related to Services shall be limited to the fee paid by Telnet for the Service with respect to which the liability relates in the month or months in which the event giving rise to the liability occurred.",Low
"LIMITATION OF LIABILITY i-on will not be liable under any circumstances for any lost profits or other consequential damages, even if i-on has been advised as to the possibility of such damages. i-on's liability for damages to the Customer for any cause whatsoever, regardless of the form of action, and whether in contract or in tort, including negligence, shall be limited to one (1) month's fees and the remaining portion of any prepaid fees.",Low
"21. Limitation of Damages Chase shall have no liability for any indirect, incidental, special or consequential damages or any loss of revenue or profits arising under or with respect to this Agreement or the Affiliate Program, regardless of whether Chase has been advised of the possibility of such damages. Further, Chase's aggregate liability arising under or with respect to this Agreement or the Affiliate Program shall in no event exceed the total Commissions paid or payable by Chase to Affiliate under this Agreement.",Low
"13. LIMITATION OF LIABILITIES 13.1 Limitation of Liabilities. IN NO EVENT SHALL JRVS'S LIABILITY ARISING OUT OF THIS AGREEMENT EXCEED THE AMOUNT RECEIVED BY JRVS FROM THE DISTRIBUTOR HEREUNDER FOR THE PRODUCT GIVING RISE TO THE LIABILITY. IN NO EVENT SHALL JRVS BE LIABLE FOR COSTS OF PROCUREMENT OF SUBSTITUTE PRODUCTS OR SERVICES, LOST PROFITS OR ANY CONSEQUENTIAL, SPECIAL, INCIDENTAL, OR INDIRECT DAMAGES, HOWEVER CAUSED AND ON ANY THEORY OF LIABILITY (INCLUDING NEGLIGENCE OR STRICT LIABILITY), ARISING OUT OF THIS AGREEMENT. THE DISTRIBUTOR ACKNOWLEDGES AND AGREES THAT THESE LIMITATIONS SHALL APPLY NOTWITHSTANDING ANY FAILURE OF ESSENTIAL PURPOSE OF ANY LIMITED REMEDY. 13.2 Limitation on Actions. NO ACTIONS, REGARDLESS OF FORM, ARISING OUT OF THIS AGREEMENT, MAY BE BROUGHT BY DISTRIBUTOR MORE THAN ONE (1) YEAR AFTER THE CAUSE OF ACTION HAS ARISEN.",Low
"The parties agree that PageMaster Corporation shall not be liable for service interruptions in the telecommunications industry, capacity constraints or related problems, or for any act or omission of any other entity furnishing products or services to PageMaster Corporation. PageMaster Corporations' liability shall in no event exceed an amount equivalent to the amounts received by PageMaster Corporation hereunder.",Low
"15. Infringement. WGT will defend and indemnify Distributor against any judicial proceeding based upon infringement of any U.S. patent or US. copyright by the Product to the extent that such proceeding arises from or in connection with a component of the Product manufactured or developed by WGT and not any third party, provided that Distributor notifies WGT of such proceeding promptly after Distributor receives notice thereof, WGT has control over the defense and settlement of the proceeding, Distributor provides such assistance in the defense and settlement of the proceeding as WGT may reasonably request, and Distributor complies with any settlement or court order made in connection with such proceeding (e.g., as to the future use of any infringing Product). WGT's obligations under this paragraph will not apply to any infringement to the extent arising out of any use or combination of the Product with any other products, goods, services or other items furnished by Distributor or anyone other than WGT or to any modification or change of the Product not made by WGT. 18. Limitations of Liability. EXCEPT AS PROVIDED IN PARAGRAPH 15, WGT'S LIABILITY(WHETHER IN CONTRACT, WARRANTY, TORT (INCLUDING NEGLIGENCE WHETHER ACTIVE, PASSIVE, IMPUTED), PRODUCT LIABILITY, STRICT LIABILITY OR OTHER THEORY) UNDER THIS AGREEMENT OR WITH REGARD TO ANY PRODUCT OR OTHER ITEMS FURNISHED UNDER THIS AGREEMENT WILL IN NO EVENT EXCEED THE COMPENSATION PAID TO WGT CONCERNING SUCH PRODUCT UNDER THIS AGREEMENT.",Low
"5 Confidential Information. omitted 7 Indemnification and Insurance. 7.1 Each Party will defend and hold harmless the other Party and its subsidiaries, affiliates, officers, directors, employees, attorneys, insurers, shareholders, representatives and agents from and against any and all liabilities, losses, damages, claims, actions, proceedings, suits, costs or expenses, including reasonable attorney fees for counsel retained by the indemnified Party, brought by a Third Party, arising out of or in connection with: 7.1.1 any negligent or intentional act or omission of the indemnifying Party, its agents or employees; 7.1.2 any breach in or default by the indemnifying Party of its obligations under this Agreement; 7.1.3 any other loss, damage or injury caused by or arising out of the indemnifying Party's or its agents' or employees' on-site visits to the indemnified Party's premises; or any claims relating directly to trademark, patent or copyright infringement arising out of a Party's use of the other Party's (or its licensors') trademarks, patents or copyrights as permitted hereunder. 7.1.4 For purposes of this Section 7.1, Third Party means any individual, corporation, partnership, trust, cooperative, or other business organization or entity, and any other recognized organization, other than the Parties or their affiliates. 7.2 Except for a Party's gross negligence or intentional acts or omissions and its obligations of indemnity under this Agreement, under no circumstances will either Party be liable to the other Party for . 7.3 Supplier agrees to indemnify and hold PNC harmless from any and all employment-related claims, payments, entitlements, taxes, interest and penalties assessed against or obtained from PNC by any individual or authority as a consequence of or related to the performance by any agent or employee of Supplier. omitted 9 Limitation of Liability. 9.1 The maximum liability of one Party to the other Party and its affiliates in relation to this Agreement will be  (Liability Cap), provided however that: 9.1.1 The Liability Cap will not apply to any (1) material confidentiality breach under Section 5, and/or (2) indemnification obligations under Section 7.1. 9.1.2 The Liability Cap will not apply to intentional misconduct and/or gross negligence. 9.2 For the purpose of this Section, liability means liability for any and all claims, causes of action, judgments, costs and expenses (including but not limited to reasonable attorney fees and expenses), reimbursements, losses, and any and all other liabilities and damages of any kind, whether in contract, tort (including negligence), equity, statute or otherwise arising out of, in relation to or as a result of this Agreement.",Low
"12.3 No Liability for Consequential Damages. No party will be liable to any other for any indirect, consequential, or special damages or for loss of profits. This limitation does not, however, apply to any obligation of either party to indemnify the other in connection with any Indemnifiable Loss. 12.4 Limitation on Liability. Notwithstanding any other provision contained in this Agreement, each party's maximum aggregate liability to the other party for any and all causes whatsoever, and each party's remedy, regardless of the form of action, whether in contract or tort, including negligence, and whether or not pursuant to the indemnification provisions contained in Section 12 and whether or not such party is notified of the possibility of damage to the other party, shall be limited to $  .",Low
"Section 3.03 Indemnification. Notwithstanding any provision of the Enterprise License: (a) ETI shall not be required to honour any product warranty or intellectual property indemnity set forth in the Enterprise License, to the extent that such breach of warranty or indemnity relates to a defect in any of the Entrust Products as of the Effective Date or the infringement or misappropriation of any third party rights as incorporated into the Entrust Products as of the Effective Date. (b) ETI's liability to Nortel arising from or relating to the intellectual property indemnity set forth in the Enterprise License shall not exceed 50% (fifty percent) of the monies paid by Nortel thereunder to a maximum of U.S.$1,000,000 (one million U.S. dollars).",Low
"9. LIMITATION OF LIABILITY (a) MMMW's entire liability and the Customer's sole and exclusive remedy for claims related to or arising out of this Agreement for any cause and regardless of the form of action, whether in contract or tort, including negligence and strict liability, shall be the remedies set forth in Section 8, provided that if MMMW fails after repeated attempts to perform those remedies, MMMW's entire liability shall be the Customer's actual, direct damages such as would be provided in a court of law, not to exceed the charge for service for the item that caused the damages. (b) MMMW shall NOT be liable for INCIDENTAL or CONSEQUENTIAL DAMAGES, even if MMMW has been advised, knew or should have known of the possibility of such damages. (c) SOME STATES HAVE LAWS REQUIRING WARRANTY AND LIABILITY RIGHTS DIFFERENT FROM THOSE STATED IN THIS AGREEMENT. IN SUCH STATES, THE MINIMUM REQUIRED WARRANTY AND LIABILITY TERMS WILL APPLY.",Low
"8.F. LIMITATION ON LIABILITY. Pretzel Time shall not be liable to Franchisee, the contractor, or any other person, and Franchisee waives all claims for liability or damages of any type whatsoever (whether direct, indirect, incidental, consequential, or exemplary), on account of the rendition of any services by Pretzel Time in accordance with this Section, except to the extent caused by the gross negligence or intentional misconduct of Pretzel Time, and then any such liability or damages shall be limited to five thousand dollars ($5,000.00). Without limiting the generality of the foregoing, Pretzel Time shall not have liability with respect to any of the following, all of which are the sole responsibility of Franchisee: (1). if construction of the Unit does not fully satisfy the requirements (if any) of the landlord, the architect, the contractor, and any governmental agency having jurisdiction or does not fully satisfy the criteria established by Pretzel Time for construction and development of Pretzel Time Units; (2). if the Unit improvements are not structurally sound or free from defects or deficiencies; (3). if there are any construction delays or cost overruns; or (4). if there are any disputes with any landlord, contractor, subcontractor, architect, supplier or governmental agency with respect to any aspect of the design, construction, provision, or equipping of the Unit.",Low
"11.3. Liability Cap. Without affecting Section 10 or the respective obligations of the parties under the Confidentiality Agreement and except for any liability (i) relating to any breach associated with the unauthorized use of Intellectual Property, (ii) arising from the intentional breach or willful misconduct of a party, or (iii) arising from the non-compliance with any mandatory applicable law or regulation, the total aggregate liability of one party to another party for any claim relating to any breach of this Agreement (or any Purchase Order or other agreement entered into in connection with this Agreement) (a Claim) shall be limited to the aggregate amount of the purchase prices paid by Distributor to Accuray for Products pursuant to this Agreement (or any Purchase Order or other Agreement entered into in connection with this Agreement) during the twelve calendar months preceding the date of the notification to the other party of such Claim less any amounts paid or payable in respect of any other Claim of which the other party was notified during such twelve month period.",Low
"ARTICLE 12 LIMITATION OF LIABILITY 12.1 Limitation of Liability. Except for liability for (i) breach of the confidentiality obligations described in Article 14, (ii) misappropriation or infringement by a Party of the other Party's Intellectual Property Rights, or (iii) gross negligence or willful misconduct: (a) IN NO EVENT SHALL A PARTY BE LIABLE FOR ANY PUNITIVE, EXEMPLARY, INDIRECT, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL DAMAGES OR EXPENSES, INCLUDING LOSS OF PROFITS, REVENUE, DATA, OR USE, WHETHER IN AN ACTION IN CONTRACT OR TORT (INCLUDING ERRORS OR OMISSIONS OR BREACH OF WARRANTY), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES; (b) EACH PARTY'S MAXIMUM LIABILITY FOR ANY DAMAGES FOR BREACH OF THIS AGREEMENT SHALL BE LIMITED TO DIRECT AND ACTUAL DAMAGES. IN NO ONE EVENT SHALL EITHER PARTY'S AGGREGATE LIABILITY FOR DAMAGES OR LOSSES UNDER THIS AGREEMENT EXCEED THE AGGREGATE AMOUNT OF THE PRODUCT PRICES PAID BY BELLICUM FOR THE MILTENYI PRODUCT(S) DURING THE TWELVE (12) MONTH PERIOD IMMEDIATELY PRECEDING THE EVENT GIVING RISE TO SUCH LIABILITY; AND FURTHER PROVIDED THAT SUCH AGGREGATE LIABILITY DURING SUCH PERIOD ALSO SHALL NOT EXCEED THE AMOUNT OF SUCH PARTY'S INSURANCE COVERAGE FOR SUCH AGGREGATE LIABILITY.",Low
"15. LIMITATIONS OF LIABILITY MORPHO agrees that XIMAGE's total liability to MORPHO for any damages suffered in connection with, or arising out of, this Agreement or MORPHO's use of any documentation, product or service provided (or to be provided) hereunder, regardless of whether any such liability is based upon contract, tort or other basis, shall be limited to an amount not to exceed the basic Monthly Maintenance Charges, for a sixty (60) day term under this Agreement. IN NO EVENT SHALL, XIMAGE BE LIABLE TO MORPHO FOR ANY INCIDENTAL, CONSEQUENTIAL, SPECIAL OR INDIRECT DAMAGES (INCLUDING WITHOUT LIMITATION, DAMAGES ARISING FROM LOSS OF BUSINESS, DATA, PROFITS OR GOODWILL) INCURRED OR SUFFERED BY MORPHO IN CONNECTION WITH, OR ARISING OUT OF, THIS AGREEMENT OR MORPHO'S USE OF ANY DOCUMENTATION OR SOFTWARE OR SERVICES PROVIDED, OR TO BE PROVIDED, HEREUNDER, EVEN IF XIMAGE HAS BEEN APPRISED OF THE LIKELIHOOD OF THE SAME. NO ACTION, REGARDLESS OF FORM, RELATED TO TRANSACTIONS OCCURRING UNDER, OR CONTEMPLATED BY, THIS AGREEMENT MAY BE BROUGHT BY EITHER PARTY MORE THAN ONE (1) YEAR AFTER THE CAUSE OF ACTION HAS ACCRUED.",High
"10.2 IN NO EVENT WILL EITHER PARTY BE LIABLE FOR ANY CONSEQUENTIAL, INDIRECT, EXEMPLARY, SPECIAL, OR INCIDENTAL DAMAGES ARISING FROM OR RELATING TO THIS AGREEMENT. NEITHER PARTIES' TOTAL CUMULATIVE LIABILITY IN CONNECTION WITH THIS AGREEMENT, WHETHER IN AGREEMENT OR TORT OR OTHERWISE, WILL NOT EXCEED THE AGGREGATE AMOUNT OF FEES AND EXPENSES OWED BY PC FINANCIAL TO MOBIMAGIC FOR SERVICES PERFORMED UNDER THIS AGREEMENT.",High
"G. LIMITATION OF LIABILITY. TO THE MAXIMUM EXTENT PERMISSIBLE UNDER APPLICABLE LAW, NEITHER ABG NOR AUTHENTIC BRANDS GROUP LLC NOR CELEBRITY SHALL BE LIABLE TO PAPA JOHN'S FOR ANY CONSEQUENTIAL, INCIDENTAL, PUNITIVE, EXEMPLARY, OR SPECIAL DAMAGES, REGARDLESS OF THE FORM OR ACTION, WHETHER IN CONTRACT OR IN TORT, EVEN IF ABG OR AUTHENTIC BRANDS GROUP LLC HAS BEEN ADVISED OF THE POSSIBLITY OF SUCH DAMAGES OR LOSSES. IN NO EVENT SHALL ABG'S, AUTHENTIC BRANDS GROUP LLC'S, AND CELEBRITY'S TOTAL LIABILITY UNDER THIS AGREEMENT EXCEED THE AMOUNTS ACTUALLY RECEIVED BY ABG (EXCLUSIVE OF REIUMBURSEMENT OF EXPENSES) HEREUNDER, REGARDLESS OF THE NUMBER OR TYPE OF CLAIMS.",High
"13.2 No Consequential Damages. Neither Customer nor MI shall be liable for, nor will the measure of any damages in any event include, any indirect, incidental, punitive, special or consequential damages or amounts for loss of income, profits or savings arising out of or relating to performance or non-performance under this Agreement. 13.3 Equitable Relief. Either party may seek equitable remedies, including specific performance and injunctive relief, for a breach of the other party's obligations under this Agreement. 13.4 Limitation of Liability. Notwithstanding any provision in this Agreement, MI's total liability under this Agreement shall not exceed payments made to MI by Customer under this Agreement during the three (3) months prior to the event. No lawsuit or other action may be brought by either party hereto, or on any claim or controversy based upon or arising in any way out of this Agreement be brought, after one (1) year from the date on which the cause of action arose; provided, however, the foregoing limitation shall not apply to the collection of any amounts due under this Agreement. 13.5 Liquidated Damages. Customer acknowledges that MI shall suffer a material adverse impact on its business if this Agreement is terminated pursuant to Sections 11.1 or 11.2(A) and that the resulting damages may not be susceptible of precise determination. Customer acknowledges that the Termination for Convenience Fee and the Termination for Cause Fee are each a reasonable approximation of such damages and shall be deemed to be liquidated damages and not a penalty.",High
"d)In no event shall Kallo be liable for indirect, consequential, or incidental damages (including damages for loss of business profits, business interruption, loss of business information, and the like) arising out of the relationship between Kallo and Agent even if it has been advised of the possibility of such damages. e)Kallo's cumulative liability under this agreement, including any cause of action in contract, tort or strict liability, shall be limited to the license fees paid by agent during the 12 months prior to such event. Kallo's limitation of liability is cumulative with all Kallo's expenditures to address liability being aggregated to determine satisfaction of the limit. Agent releases Kallo from all obligations, liabilities, claims or demands in excess of the limitation. The parties acknowledge that other parts of this agreement rely upon the inclusion of this section and the resulting allocation of risks.",High
"Section 11.2: The liability of WLI to Power2Ship for any claim whatsoever related to the Products or the Licensed Programs or this Agreement, including any cause of action in contract, tort, or strict liability, shall not exceed the total amount payable under this Agreement by Power2Ship to WLI within the most recent six-month period for the Licensed Programs (if such claim relates to the Licensed Programs), or for the WLI Products (if such claim relates to the WLI Products). Under no circumstances shall WLI be liable to Power2Ship or to any other person or entity for any incidental, special or consequential damages whether arising out of breach of warranty, breach of contract or otherwise even if WLI has been advised of the possibility of such claims or demands.",High
"LIMITATION OF LIABILITY EXCEPT UNDER SECTIONS 13(a) AND 13(b), IN NO EVENT WILL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES, WHETHER BASED ON BREACH OF CONTRACT, TORT (INCLUDING NEGLIGENCE) OR OTHERWISE, WHETHER OR NOT THAT PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE. EXCEPT UNDER SECTIONS 13(a) AND 13(b), THE LIABILITY OF EITHER PARTY FOR DAMAGES OR ALLEGED DAMAGES HEREUNDER, WHETHER IN CONTRACT, TORT OR ANY OTHER LEGAL THEORY, IS LIMITED TO, AND WILL NOT EXCEED, THE AMOUNTS TO BE PAID BY CLIENT TO EXCITE HEREUNDER.",High
"Notwithstanding anything herein to the contrary, AJR's liability under this Section 11 shall not exceed One Hundred Fifty Thousand Dollars ($150,000).",High
"8.2 Limitation of Galaxy Liability Galaxy shall have no liability to Telnet, whether in contract, tort (including negligence), strict liability or otherwise, for any special, indirect or consequential damages or for lost profits, in any matter related to this Agreement, including but not limited to any delay or failure by Galaxy to furnish, deliver or provide Products or Services; Galaxy's liability in any matter related to Product shall be limited to the purchase price paid by Telnet for the Product with respect to which such liability relates; Galaxy's liability in any matter related to Services shall be limited to the fee paid by Telnet for the Service with respect to which the liability relates in the month or months in which the event giving rise to the liability occurred.",High
"LIMITATION OF LIABILITY i-on will not be liable under any circumstances for any lost profits or other consequential damages, even if i-on has been advised as to the possibility of such damages. i-on's liability for damages to the Customer for any cause whatsoever, regardless of the form of action, and whether in contract or in tort, including negligence, shall be limited to one (1) month's fees and the remaining portion of any prepaid fees.",High
"21. Limitation of Damages Chase shall have no liability for any indirect, incidental, special or consequential damages or any loss of revenue or profits arising under or with respect to this Agreement or the Affiliate Program, regardless of whether Chase has been advised of the possibility of such damages. Further, Chase's aggregate liability arising under or with respect to this Agreement or the Affiliate Program shall in no event exceed the total Commissions paid or payable by Chase to Affiliate under this Agreement.",High
"11.3 Limitation of Liability. NEITHER PARTY SHALL BE LIABLE, WHETHER BASED ON CONTRACT LAW, TORTS OR ANY OTHER AREA OF LAW, FOR ANY INDIRECT, INCIDENTAL, SPECIAL OR CONSEQUENTIAL DAMAGES ARISING OUT OF OR IN ANY WAY RELATED TO THIS AGREEMENT OR ITS PERFORMANCE AND THE MAXIMUM TOTAL LIABILITY OF EITHER PARTY WHETHER BASED ON CONTRACT LAW, TORTS OR ANY OTHER AREA OF LAW SHALL BE LIMITED TO THE AMOUNT . NOTWITHSTANDING THE FOREGOING, THESE LIMITATIONS SHALL NOT APPLY TO DAMAGES ARISING FROM A PARTY'S (I) INDEMNIFICATION OBLIGATIONS UNDER SECTION 11.1 OR SECTION 11.2 HEREOF, (II) GROSS NEGLIGENCE OR WILFUL MISCONDUCT, (III) BREACH OF ITS OBLIGATIONS UNDER SECTION 9 OR (IV) INFRINGEMENT OR MISAPPROPRIATION OF THE OTHER PARTY'S INTELLECTUAL PROPERTY.",Medium
"11.6 No Consequential Damages. EXCEPT TO THE EXTENT ARISING (A) FROM A PARTY'S BREACH OF ARTICLE 10 (CONFIDENTIALITY), (B)  (E) FROM A PARTY'S FRAUD, GROSS NEGLIGENCE OR WILLFUL MISCONDUCT OR (F) IN CONNECTION WITH A PARTY'S INDEMNIFICATION OBLIGATIONS UNDER ARTICLE 12 (INDEMNIFICATION; INSURANCE), IN NO EVENT WILL EITHER PARTY BE LIABLE TO THE OTHER PARTY FOR ANY LOST PROFITS, INDIRECT, SPECIAL, INCIDENTAL, EXEMPLARY OR CONSEQUENTIAL DAMAGES OF ANY KIND ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT, HOWEVER CAUSED AND ON ANY THEORY OF LIABILITY (WHETHER IN CONTRACT, TORT (INCLUDING NEGLIGENCE), STRICT LIABILITY OR OTHERWISE). THE LIMITATIONS SET FORTH IN THIS SECTION WILL APPLY EVEN IF A PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES, AND NOTWITHSTANDING ANY FAILURE OF ESSENTIAL PURPOSE OF ANY LIMITED REMEDY. 11.7 Liability Limit. TO THE GREATEST EXTENT PERMITTED UNDER APPLICABLE LAW, IN NO EVENT WILL A PARTY'S AGGREGATE LIABILITY (ABOVE AMOUNTS ACTUALLY PAID OR REIMBURSED BY SUCH PARTY'S INSURER (TO THE EXTENT NOT SELF-INSURED)) FOR A CLAIM ARISING OUT OF OR RELATED TO THIS AGREEMENT UNDER ANY LEGAL OR EQUITABLE THEORY, INCLUDING BREACH OF CONTRACT, TORT (INCLUDING NEGLIGENCE), STRICT LIABILITY, AND OTHERWISE EXCEED , EXCEPT THAT (A) SUCH LIMITATION SHALL NOT APPLY TO (I) A PARTY'S BREACH OF ARTICLE 10 (CONFIDENTIALITY), , (V) A PARTY'S FRAUD, GROSS NEGLIGENCE OR WILLFUL MISCONDUCT OR (VI) A PARTY'S INDEMNIFICATION OBLIGATIONS UNDER ARTICLE 12 (INDEMNIFICATION; INSURANCE) AND (B) SUCH LIMITATION ON LIABILITY SHALL NOT INCLUDE ANY AMOUNTS ACCRUED AND ACTUALLY OWED PURSUANT TO THE TERMS OF THIS AGREEMENT.",High
"28.2. Limitations of Liability--Except in respect of personal injury or death caused by the negligence of either party (for which by law no limit applies), in the event either party shall be liable to the other party on account of the performance or nonperformance of its respective obligations under this Agreement, whether arising by negligence, wilful misconduct or otherwise, the amount recoverable by the other party for all events, acts or omissions shall not exceed, in the aggregate, an amount equal to payments made under this Agreement.",Medium
"7. Indemnification. omitted (c) Any and all claims, losses, cost or expenses shall be limited to actual and direct costs. In no event shall any party be responsible to the other for indirect, special or consequential damages.",High
"Section 7.01 Disclaimer of General Warranty by PrimeCall. Disclaimer of General Warranty by PrimeCall. PRIMECALL MAKES NO REPRESENTATION OR WARRANTY, EXPRESS OR IMPLIED, CONCERNING THE SERVICES PROVIDED HEREUNDER, INCLUDING ANY IMPLIED WARRANTY OF FITNESS FOR A PARTICULAR PURPOSE, MERCHANTABILITY OR OTHERWISE. IN NO EVENT SHALL PRIMECALL BE LIABLE TO DELTATHREE FOR ANY SPECIAL, INCIDENTIAL OR CONSEQUENTIAL DAMAGES, INCLUDING, WITHOUT LIMITATION, LOSS OF PROFITS, REVENUES OR DATA WHETHER BASED ON BREACH OF CONTRACT, TORT OR OTHERWISE, WHETHER OR NOT DELTATHREE HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE. THE LIABILITY OF PRIMECALL FOR DAMAGES OR ALLEGED DAMAGES HEREUNDER, WHETHER IN CONTRACT, TORT OR ANY OTHER LEGAL THEORY, IS LIMITED TO, AND WILL NOT EXCEED, DELTATHREE'S DIRECT DAMAGES.",Low
"ARTICLE XIII CONFIDENTIALITY omitted ARTICLE XIV MISCELLANEOUS Section 14.1 Notices. All notices, consents, and other communications between the parties under or regarding this Agreement shall be in writing and shall be sent to the recipient's address set forth in this section. Such communications shall be deemed to have been received on the date actually received. Section 10.5 Limitations. (a) EXCEPT IN CONNECTION WITH A BREACH OF ARTICLE XIII OF THIS AGREEMENT AND WITH THE EXCEPTION OF THE INDEMNIFICATION OBLIGATIONS OF THE PARTIES UNDER ARTICLE X, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY OR ANY OTHER PERSON OR ENTITY FOR ANY INDIRECT, INCIDENTAL, CONSEQUENTIAL, SPECIAL, PUNITIVE, EXEMPLARY, OR EXTRA-CONTRACTUAL DAMAGES OF ANY KIND WHATSOEVER ARISING FROM OR CONNECTED WITH THIS AGREEMENT, INCLUDING, BUT NOT LIMITED TO, LOST PROFITS, LOST REVENUES, OR LOSS OF BUSINESS, REGARDLESS OF LEGAL THEORY, WHETHER OR NOT FORESEEABLE, EVEN IF EITHER PARTY HERETO HAS BEEN ADVISED OF THE POSSIBILITY OR PROBABILITY OF SUCH DAMAGES AND EVEN IF THE REMEDIES OTHERWISE PROVIDED BY THIS AGREEMENT FAIL OF THEIR ESSENTIAL PURPOSE. THE REMEDIES PROVIDED BY THIS AGREEMENT AND THE PROVISIONS OF THIS AGREEMENT ALLOCATE THE RISKS OF THIS AGREEMENT BETWEEN THE PARTIES, SOME OF WHICH MAY BE UNKNOWN OR UNDERMINABLE. THESE LIMITATIONS ARE A MATERIAL INDUCEMENT FOR THE PARTIES TO THIS AGREEMENT TO ENTER INTO THIS AGREEMENT, AND THE PARTIES TO THIS AGREEMENT HAVE RELIED UPON THESE PROVISIONS IN DETERMINING WHETHER OR NOT TO ENTER INTO THIS AGREEMENT. (b) EXCEPT IN CONNECTION WITH A BREACH OF ARTICLE XIV HEREUNDER, AND WITH THE EXCEPTION OF THE INDEMNIFICATION OBLIGATIONS OF THE PARTIES UNDER ARTICLE X, THE AGGREGATE TOTAL LIABILITY OF EITHER PARTY TO THE OTHER PARTY AND TO ALL OTHER PERSONS AND ENTITIES UNDER THIS AGREEMENT SHALL UNDER NO CIRCUMSTANCES EXCEED THE AMOUNT OF THE NET REVENUE RECEIVED BY NCM PURSUANT TO SECTION 7.2 OF THIS AGREEMENT DURING THE FIVE (5) YEAR PERIOD PRECEDING SUCH LIABILITY, LESS IN ANY CASE THE AGGREGATE OF ANY AMOUNTS PAID BY NCM HEREUNDER ON ACCOUNT OF PREVIOUS EVENTS OF LIABILITY.",Low
"8. CONFIDENTIALITY. omitted 10.2 Limitation of Liability. EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF SECTION 8, NEITHER PARTY WILL BE LIABLE FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY, PUNITIVE OR INCIDENTAL DAMAGES ARISING OUT OF OR RELATED TO THIS AGREEMENT, HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY (INCLUDING NEGLIGENCE), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES. ISA SHALL NOT BE LIABLE FOR ANY LOSS OF DATA, OR ANY INTERRUPTION OF OR DELAY IN PROVIDING THE SERVICES. EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF SECTION 8, EACH PARTY'S LIABILITY FOR DAMAGES HEREUNDER (OTHER THAN IN RESPECT OF ANY CLAIM FOR MONIES DUE) SHALL NOT EXCEED 200,000.",Low
