clause_text,clause_type,risk
Yes,Volume Restriction,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Insurance,High
ENDORSEMENT AGREEMENT,Document Name,Low
"Healthcare Distribution Specialists LLC (""HDS""); Paul Silas (""Celebrity"")",Parties,Low
2/20/12,Agreement Date,Low
2/20/12,Effective Date,Low
2/19/13,Expiration Date,Low
Georgia,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Anti-Assignment,High
Yes,Volume Restriction,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Insurance,High
Split-Dollar Endorsement Agreement,Document Name,Low
"Prudential Bank (""Employer""); Jeffrey Hanuscin (""Employee"")",Parties,Low
6/1/17,Agreement Date,Low
6/1/17,Effective Date,Low
Pennsylvania,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Third Party Beneficiary,Low
ENDORSEMENT,Document Name,Low
Thrivent Financial for Lutherans,Parties,Low
7/1/19,Agreement Date,Low
7/1/19,Effective Date,Low
Yes,Anti-Assignment,High
BLOCKCHAIN ADMINISTRATION AND DEVELOPMENT AGREEMENT,Document Name,Low
"ARCA U.S. TREASURY FUND (""Fund""); ARCA CAPITAL MANAGEMENT, LLC (""Blockchain Administrator"")",Parties,Low
[]/[]/2020,Agreement Date,Low
[]/[]/2020,Effective Date,Low
[]/[]/2022,Expiration Date,Low
successive 1 year,Renewal Term,Low
New York,Governing Law,Low
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
"LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",Document Name,Low
"Xencor, Inc. (""Xencor""); Aimmune Therapeutics, Inc. (""Aimmune"")(""Party"" and collectively as the ""Parties"")",Parties,Low
2/4/20,Agreement Date,Low
2/4/20,Effective Date,Low
perpetual,Expiration Date,Low
Perpetual,Renewal Term,Low
California,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Volume Restriction,Low
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensor,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Insurance,High
Development Agreement,Document Name,Low
"CNS Pharmaceuticals, Inc. (""CNS""); WPD Pharmaceuticals (""WPD"")(""Party"" and collectively as the ""Parties"")",Parties,Low
3/20/20,Agreement Date,Low
3/20/20,Effective Date,Low
Texas,Governing Law,Low
Yes,Revenue/Profit Sharing,Low
Yes,Audit Rights,Medium
APPLICATION DEVELOPMENT AGREEMENT,Document Name,Low
"InfinixSoft Global LLC (""Developer""); Clickstream Corporation (""Client"")",Parties,Low
3/20/20,Agreement Date,Low
3/20/20,Effective Date,Low
Florida,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Warranty Duration,Low
Yes,Covenant Not To Sue,Low
LICENSE AND DEVELOPMENT AGREEMENT,Document Name,Low
"Bioeq IP, AG (""Bioeq""); Coherus BioSciences, Inc. (""Licensee"")",Parties,Low
11/2/19,Agreement Date,Low
11/2/19,Effective Date,Low
perpetual,Renewal Term,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Covenant Not To Sue,Low
FRANCHISE DEVELOPMENT AGREEMENT (Non-exclusive/Exclusive),Document Name,Low
"EL POLLO LOCO, INC. (""El Pollo Loco"" or ""Franchisor""); an individual (""Developer"")",Parties,Low
[ ]/[ ]/20[ ],Expiration Date,Low
California; the state in which the breach occurs,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
Consulting and Product Development Agreement,Document Name,Low
"Emerald Health Sciences Inc. (""EHS""); Emerald Health Nutraceuticals Inc. (""EHN""); Michael T. Murray, N.D. (""Dr. Murray"")",Parties,Low
9/1/16,Agreement Date,Low
9/1/16,Effective Date,Low
12/31/18,Expiration Date,Low
successive 2 years,Renewal Term,Low
Arizona,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
DEVELOPMENT AND OPTION AGREEMENT,Document Name,Low
"Harpoon Therapeutics, Inc. (""Harpoon""); AbbVie Biotechnology Ltd (""AbbVie"")",Parties,Low
11/20/19,Agreement Date,Low
11/20/19,Effective Date,Low
Delaware,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensor,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
MASTER JOINT DEVELOPMENT AGREEMENT,Document Name,Low
"iBio Inc.; Beijing CC-Pharming Ltd. (""CC-Pharming"")",Parties,Low
8/8/18,Agreement Date,Low
8/8/18,Effective Date,Low
Texas,Governing Law,Low
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
OUTSOURCE TECHNOLOGY DEVELOPMENT AGREEMENT,Document Name,Low
"Document Security Systems, Inc. (""DSS""); HotApp International Ltd. (""Developer"")",Parties,Low
3/1/18,Agreement Date,Low
3/1/18,Effective Date,Low
3/1/19,Expiration Date,Low
successive 1 month,Renewal Term,Low
New York,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Covenant Not To Sue,Low
REAL ESTATE EDUCATION TRAINING PROGRAM DEVELOPMENT AGREEMENT,Document Name,Low
"T&B Seminars, Inc. (""T&B""); Legacy Education Alliance Holdings, Inc. (""LEA"")",Parties,Low
12/23/19,Agreement Date,Low
12/23/19,Effective Date,Low
12/23/24,Expiration Date,Low
successive 5 years,Renewal Term,Low
New York,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,No-Solicit Of Customers,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
BUSINESS DEVELOPMENT AGREEMENT,Document Name,Low
"LIQUIDMETAL TECHNOLOGIES, INC. (""Liquidmetal""); EUTECTIX, LLC (""Eutectix"")",Parties,Low
[]/[]/2020,Agreement Date,Low
[]/[]/2020,Effective Date,Low
[]/[]/2025,Expiration Date,Low
succesive 1 year,Renewal Term,Low
Arizona,Governing Law,Low
Yes,Most Favored Nation,Low
Yes,Termination For Convenience,High
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Insurance,High
License and Development Agreement,Document Name,Low
"NLS-1 Pharma AG (""Licensor"" or ""NLS""); Eurofarma Laboratorios S.A. (""Licensee"" or ""Eurofarma"")(""Party"" collectively the ""Parties"")",Parties,Low
Netherlands,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
CO-DEVELOPMENT AGREEMENT,Document Name,Low
"PhaseBio Pharmaceuticals Inc. (""PB""); SFJ Pharmaceuticals X, Ltd. (""SFJ"")(""party"" and collectively, the ""Parties"")",Parties,Low
1/9/20,Agreement Date,Low
1/9/20,Effective Date,Low
Delaware,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
Yes,Insurance,High
"COLLABORATIVE RESEARCH, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",Document Name,Low
"Revolution Medicines, Inc. (""Revmed""); Aventis, Inc. (""Sanofi"")(""Party"" and collectively as the ""Parties"")",Parties,Low
6/8/18,Agreement Date,Low
6/8/18,Effective Date,Low
New York,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Volume Restriction,Low
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Insurance,High
DISTRIBUTION AND DEVELOPMENT AGREEMENT,Document Name,Low
"Sekisui Diagnostics, LLC and its Affiliates (""Sekisui""); Qualigen, Inc. and its Affiliates (""Qualigen"")",Parties,Low
5/1/16,Agreement Date,Low
5/1/21,Expiration Date,Low
Successive 1 year,Renewal Term,Low
Delaware,Governing Law,Low
Yes,Exclusivity,Medium
Yes,No-Solicit Of Customers,Medium
Yes,Termination For Convenience,High
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Liquidated Damages,High
Yes,Warranty Duration,Low
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
Mobile Application Development Agreement,Document Name,Low
"VGrab Asia Ltd. (""VAL""); Mr. Zheng Qing, Mr. Gu Xianwin and Ms. Chen Weijie (""Developer"")",Parties,Low
3/5/19,Agreement Date,Low
3/5/19,Effective Date,Low
09/05/2019; perpetual,Expiration Date,Low
Hong Kong,Governing Law,Low
Yes,Termination For Convenience,High
Yes,Ip Ownership Assignment,Low
Yes,Warranty Duration,Low
DOMAIN NAME AND CONTENT LICENSE AGREEMENT,Document Name,Low
"Beijing SINA Internet Information Service Co., Ltd. (""Licensor""); Beijing Yisheng Leju Information Services Co., Ltd. (""Licensee"")",Parties,Low
People's Republic of China,Governing Law,Low
Yes,Most Favored Nation,Low
Yes,Exclusivity,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Post-Termination Services,Medium
Yes,Covenant Not To Sue,Low
JOINT CONTENT LICENSE AGREEMENT,Document Name,Low
"WPT Enterprises, Inc. (“WPT”); ZYNGA INC. (“Zynga US”); ZYNGA GAME IRELAND LIMITED (""Zynga Ireland"", and together with Zynga US and their respective Affiliates, “Zynga”)",Parties,Low
2/1/18,Agreement Date,Low
2/1/18,Effective Date,Low
2/1/21,Expiration Date,Low
2 years,Renewal Term,Low
California,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
CONTENT LICENSING AGREEMENT,Document Name,Low
"Data Call Technologies, Inc (""Licensor""); PLAN_B MEDIA AG (""plan_b"")",Parties,Low
3/24/06,Agreement Date,Low
4/1/06,Effective Date,Low
4/1/08,Expiration Date,Low
0.5 year,Renewal Term,Low
United States,Governing Law,Low
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
CONTENT LICENSE AGREEMENT,Document Name,Low
"Global Music International, Inc. d/b/a Independent Music Network (""IMNTV""); MobileVision Communications, Ltd. (""Distributor"")",Parties,Low
7/13/05,Agreement Date,Low
7/13/05,Effective Date,Low
7/13/06,Expiration Date,Low
successive 1 year,Renewal Term,Low
Florida,Governing Law,Low
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Volume Restriction,Low
Yes,License Grant,Low
Yes,Post-Termination Services,Medium
Yes,Cap On Liability,High
FORM OF CONTENT LICENSE AGREEMENT,Document Name,Low
"Beijing Sun Seven Stars Culture Development Limited (""Licensor""); YOU ON DEMAND HOLDINGS, INC (""Licensee"")",Parties,Low
[]/[]/2015,Agreement Date,Low
[]/[]/2015,Effective Date,Low
[]/[]/2035,Expiration Date,Low
New York,Governing Law,Low
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,License Grant,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
CONTENT LICENSE AGREEMENT,Document Name,Low
"Digicorp, Inc. (""Company""); New China Media LLC ((a/k/a New China Media LLC) (""NCM""); YGP, LLC (""YGP""); TWK Holdings, LLC. (""TWK""); (NCM, YGP and TWK individually and collectively referred to as ""CONTENT PROVIDER"")(COMPANY and CONTENT PROVIDER are hereinafter sometimes collectively referred to as the ""Parties"")",Parties,Low
6/2/08,Agreement Date,Low
6/2/08,Effective Date,Low
6/2/10,Expiration Date,Low
successive 2 years,Renewal Term,Low
California,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Revenue/Profit Sharing,Low
Yes,License Grant,Low
Yes,Affiliate License-Licensee,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
CONTENT LICENSE AGREEMENT,Document Name,Low
"PACIFICAP ENTERTAINMENT (""Licensor""); THE HENRY FILM AND ENTERTAINMENT CORPORATION (""Licensee"")",Parties,Low
11/3/05,Agreement Date,Low
successive 3 years,Renewal Term,Low
California,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Covenant Not To Sue,Low
Program Content License Agreement,Document Name,Low
"Phoenix Satellite Television Company Limited (""Party A""""Phoenix Satellite TV""); Beijing Tianying Jiuzhou Network Technology Co., Ltd (""Party B"")",Parties,Low
11/24/09,Agreement Date,Low
11/24/09,Effective Date,Low
11/24/14,Expiration Date,Low
People's Republic of China,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
CONTENT LICENSE AGREEMENT,Document Name,Low
"World Book, Inc. (""World Book""); HSW International, Inc. (""HSWI"")",Parties,Low
9/17/08,Agreement Date,Low
9/17/08,Effective Date,Low
New York,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Media Content and License Agreement,Document Name,Low
Watchit Media; Oceanic Time Warner Cable,Parties,Low
09/01/2006; 8/31/2007,Effective Date,Low
12/31/06,Expiration Date,Low
Yes,Exclusivity,Medium
Yes,Liquidated Damages,High
CONTENT LICENSE AGREEMENT,Document Name,Low
"CHINA ECONOMIC INFORMATION SERVICE OF XINHUA NEWS AGENCY (""CEIS""); XINHUA FINANCIAL NETWORK LIMITED (""XFN"")",Parties,Low
12/15/01,Agreement Date,Low
5/18/00,Effective Date,Low
5/18/20,Expiration Date,Low
10 years,Renewal Term,Low
Hong Kong,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,License Grant,Low
Yes,Affiliate License-Licensee,Low
Yes,Unlimited/All-You-Can-Eat-License,Low
CONTENT LICENSE AGREEMENT,Document Name,Low
"Emdeon Corporation (""Emdeon""); WebMD, Inc. (""WebMD"")",Parties,Low
10/1/05,Agreement Date,Low
10/1/05,Effective Date,Low
8/31/06,Expiration Date,Low
1 year,Renewal Term,Low
New York,Governing Law,Low
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Cap On Liability,High
"ADDENDUM TO 

ZEBRA® PARTNERCONNECT DISTRIBUTOR AGREEMENT",Document Name,Low
"Zebra Technologies International, LLC (""Zebra""), Zebra Technologies do Brasil - Comércio de Produtos de Informåtica Ltda.(""Zebra Brazil""), Xplore Technologies Corporation of America (""Xplore""), (Zebra, Zebra Brazil and Explore collectively as ""Zebra""); ScanSource, Inc. (""ScanSource""), ScanSource Latin America, Inc. (""ScanSource Latin America""), ScanSource Brazil Distribuidora de Technologias, Ltda. ""ScanSource Brazil""), SCANSOURCE DE MEXICO S. DE R.L. DE C.V. (""ScanSource Mexico"") ,(""ScanSource"", ""ScanSource Latin America"" , ""ScanSource Brazil"" and ScanSource Mexico collectively ""Distributor"")(""Zebra"" and the ""Distributor"" are referred to collectively as 'Parties"" and individually as a ""Party"")",Parties,Low
2/4/19,Agreement Date,Low
2/4/19,Effective Date,Low
AMENDMENT NO. 3 TO THE NONEXCLUSIVE VALUE ADDED DISTRIBUTOR AGREEMENT,Document Name,Low
"Cisco Systems, Inc. (""Cisco""); ScanSource, Inc. (""Distributor"")",Parties,Low
8/4/10,Agreement Date,Low
1/20/12,Expiration Date,Low
DISTRIBUTOR AGREEMENT,Document Name,Low
"Co-Diagnostics, Inc. (""Principal""); PreCheck Health Services, Inc. (""Distributor"")",Parties,Low
3/19/20,Agreement Date,Low
3/18/21,Expiration Date,Low
Texas,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Post-Termination Services,Medium
Yes,Covenant Not To Sue,Low
EXCLUSIVE DISTRIBUTOR AGREEMENT,Document Name,Low
"SMART RX SYSTEMS, INC. (""Company""); A3 DEVELOPMENT GROUP, LLC (""Distributor"")",Parties,Low
5/17/17,Agreement Date,Low
5/17/22,Expiration Date,Low
successive 1 year,Renewal Term,Low
Texas,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Non-Disparagement,Low
Yes,Revenue/Profit Sharing,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
DISTRIBUTORSHIP AGREEMENT,Document Name,Low
"STARAR SURGICAL AG (""STAAR""); Distributor (""Distributor"")",Parties,Low
successive 1 year,Renewal Term,Low
California,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Non-Disparagement,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
DISTRIBUTORSHIP AGREEMENT,Document Name,Low
"ZOGENIX, INC. (""Zogenix""); Nippon Shinyaku Company, Ltd. (""Distributor"")(""Party"" and collectively as the ""Parties"")",Parties,Low
3/18/19,Agreement Date,Low
3/18/19,Effective Date,Low
9/1/45,Expiration Date,Low
New York,Governing Law,Low
Yes,Non-Compete,Medium
Yes,Exclusivity,Medium
Yes,Termination For Convenience,High
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Ip Ownership Assignment,Low
Yes,Joint Ip Ownership,Low
Yes,License Grant,Low
Yes,Affiliate License-Licensor,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
INTELLECTUAL PROPERTY AGREEMENT,Document Name,Low
"Armstrong Flooring, Inc. (""Seller""); AFI Licensing LLC, (""Licensing"" and together with Seller, ""Arizona""); AHF Holding, Inc. (formerly known as Tarzan HoldCo, Inc.)(""Buyer""); Armstrong Hardwood Flooring Company (""Company""and together with Buyer the ""Buyer Entities"")(each of Arizona and the Buyer Entities, a ""Party"" and collectively, the ""Parties"")",Parties,Low
12/31/18,Agreement Date,Low
12/31/18,Effective Date,Low
Perpetual,Expiration Date,Low
Delaware,Governing Law,Low
Yes,Non-Disparagement,Low
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensor,Low
Yes,Affiliate License-Licensee,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Covenant Not To Sue,Low
WIRELESS CONTENT LICENSE AGREEMENT,Document Name,Low
"Twentieth Century Fox Licensing & Merchandising (""Fox""); Sorrent, Inc (""Licensee"")(""parties"" and each individually as a ""party)",Parties,Low
12/16/04,Agreement Date,Low
12/16/04,Effective Date,Low
12/31/06,Expiration Date,Low
California,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Non-Disparagement,Low
Yes,Rofr/Rofo/Rofn,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Post-Termination Services,Medium
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Liquidated Damages,High
Yes,Covenant Not To Sue,Low
"AMENDMENT NO. 1

Wireless Content License Agreement Number 12965",Document Name,Low
"Fox Mobile Entertainment (""Fox""); Glu Mobile, Inc. f/k/a Sorrent, Inc. (""Licensee"")",Parties,Low
11/18/05,Agreement Date,Low
Yes,Exclusivity,Medium
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
"AMENDMENT NO. 2

Wireless Content License Agreement Number 12965",Document Name,Low
"Fox Mobile Entertainment, Inc. (""Fox""); Glu Mobile, Inc. f/k/a Sorrent, Inc. (""Licensee"")",Parties,Low
3/27/06,Agreement Date,Low
Yes,Revenue/Profit Sharing,Low
Yes,License Grant,Low
"AMENDMENT NO. 3

Wireless Content License Agreement Number 12965",Document Name,Low
"Fox Mobile Entertainment, Inc. (""Fox""); Glu Mobile Inc. (""Licensee"")",Parties,Low
2/19/07,Agreement Date,Low
12/31/06,Expiration Date,Low
DOMAIN NAME AND CONTENT LICENSE AGREEMENT,Document Name,Low
"Beijing SINA Internet Information Service Co., Ltd (""Licensor""); Beijing Yisheng Leju Information Services Co., Ltd (""Licensee"" and together with Licensor, the ""Parties"" and each a ""Party"")",Parties,Low
People's Republic of China,Governing Law,Low
Yes,Most Favored Nation,Low
Yes,Exclusivity,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Affiliate License-Licensee,Low
Yes,Post-Termination Services,Medium
Yes,Covenant Not To Sue,Low
MUTUAL TERMINATION AGREEMENT,Document Name,Low
"Beijing SINA Internet Information Service Co. (""Beijing SINA""); Shanghai SINA Leju Information Technology Co. Ltd. (""SINA Leju"")",Parties,Low
[]/[]/2009,Agreement Date,Low
People's Republic of China,Governing Law,Low
ENDORSEMENT AGREEMENT,Document Name,Low
"ABG-Shaq, LLC (""ABG""); Papa John's Marketing Fund, Inc (""PJMF""); Papa John's International, Inc (""PJI"")(PJMF and PJI individually and collectively, ""PAPA JOHN'S"")",Parties,Low
3/15/19,Agreement Date,Low
3/15/19,Effective Date,Low
3/15/22,Expiration Date,Low
Delaware,Governing Law,Low
Yes,Competitive Restriction Exception,Low
Yes,Exclusivity,Medium
Yes,Non-Disparagement,Low
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,Volume Restriction,Low
Yes,Ip Ownership Assignment,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Post-Termination Services,Medium
Yes,Cap On Liability,High
Yes,Insurance,High
Yes,Covenant Not To Sue,Low
SAMPLE OF NON-DISCLOSURE AND NON-COMPETITION AGREEMENT,Document Name,Low
"[] (""Franchisee""); [] (""Member"")",Parties,Low
[]/[]/20[],Agreement Date,Low
Yes,Non-Compete,Medium
Yes,No-Solicit Of Customers,Medium
Yes,No-Solicit Of Employees,Medium
Yes,Third Party Beneficiary,Low
FORM OF FRANCHISE AGREEMENT,Document Name,Low
"Pizza Fusion Holding, Inc. (""we"", ""us"", ""our""); the individual or legal entity identified on the cover page (""Franchisee"", ""You"", ""your"")",Parties,Low
10 years,Renewal Term,Low
Florida,Governing Law,Low
Yes,Non-Compete,Medium
